TargetCompanyKvk;Value;SchemeDescription;Dataset;Scheme;StartTimestamp;EndTimestamp;ActiveTimestamp;InactiveTimestamp;Trustlevel
17183944;101386;;Commercial;custom;;;30-7-2020 14:11;;2
17183777;101291;;Commercial;custom;;;30-7-2020 14:11;;2
17183071;101201;;Commercial;custom;;;30-7-2020 14:11;;2
17182524;103171;;Commercial;custom;;;30-7-2020 14:11;;2
17173704;101031;;Commercial;custom;;;30-7-2020 14:11;;2
17207232;101002;;Commercial;custom;;;30-7-2020 14:11;;2
17273109;101295;;Commercial;custom;;;30-7-2020 14:11;;2
17273354;101316;;Commercial;custom;;;30-7-2020 14:11;;2
17273692;101136;;Commercial;custom;;;30-7-2020 14:11;;2
51474417;101429;;Commercial;custom;;;30-7-2020 14:11;;2
51259087;101244;;Commercial;custom;;;30-7-2020 14:11;;2
50962868;101071;;Commercial;custom;;;30-7-2020 14:11;;2
50816616;101047;;Commercial;custom;;;30-7-2020 14:11;;2
51513900;101087;;Commercial;custom;;;30-7-2020 14:11;;2
50686798;101242;;Commercial;custom;;;30-7-2020 14:11;;2
50548271;101435;;Commercial;custom;;;30-7-2020 14:11;;2
50679732;101070;;Commercial;custom;;;30-7-2020 14:11;;2
51865440;101042;;Commercial;custom;;;30-7-2020 14:11;;2
51939916;111997;;Commercial;custom;;;30-7-2020 14:11;;2
52994503;101552;;Commercial;custom;;;30-7-2020 14:11;;2
52953335;112001;;Commercial;custom;;;30-7-2020 14:11;;2
52917487;101081;;Commercial;custom;;;30-7-2020 14:11;;2
52890880;101030;;Commercial;custom;;;30-7-2020 14:11;;2
52723658;101163;;Commercial;custom;;;30-7-2020 14:11;;2
52584305;101559;;Commercial;custom;;;30-7-2020 14:11;;2
52505197;101006;;Commercial;custom;;;30-7-2020 14:11;;2
52491994;101292;;Commercial;custom;;;30-7-2020 14:11;;2
52438694;101148;;Commercial;custom;;;30-7-2020 14:11;;2
52366308;101059;;Commercial;custom;;;30-7-2020 14:11;;2
52362531;101258;;Commercial;custom;;;30-7-2020 14:11;;2
52307670;101421;;Commercial;custom;;;30-7-2020 14:11;;2
52040690;104054;;Commercial;custom;;;30-7-2020 14:11;;2
50480219;101080;;Commercial;custom;;;30-7-2020 14:11;;2
50423878;101012;;Commercial;custom;;;30-7-2020 14:11;;2
50068105;101221;;Commercial;custom;;;30-7-2020 14:11;;2
17281011;101033;;Commercial;custom;;;30-7-2020 14:11;;2
17280781;101253;;Commercial;custom;;;30-7-2020 14:11;;2
17278316;103483;;Commercial;custom;;;30-7-2020 14:11;;2
17276450;101193;;Commercial;custom;;;30-7-2020 14:11;;2
17275728;101277;;Commercial;custom;;;30-7-2020 14:11;;2
14113515;101402;Vitelia klantnummer;Commercial;custom;;;30-7-2020 14:11;;2
14113986;103114;;Commercial;custom;;;30-7-2020 14:11;;2
14113196;101280;;Commercial;custom;;;30-7-2020 14:11;;2
14112825;103760;;Commercial;custom;;;30-7-2020 14:11;;2
14112776;101627;;Commercial;custom;;;30-7-2020 14:11;;2
14112776;112199;;Commercial;custom;;;30-7-2020 14:11;;2
14112676;103784;;Commercial;custom;;;30-7-2020 14:11;;2
14112667;101290;;Commercial;custom;;;30-7-2020 14:11;;2
14113451;101423;;Commercial;custom;;;30-7-2020 14:11;;2
14122077;101360;;Commercial;custom;;;30-7-2020 14:11;;2
14121421;101406;;Commercial;custom;;;30-7-2020 14:11;;2
14120091;103228;;Commercial;custom;;;30-7-2020 14:11;;2
14119630;101397;;Commercial;custom;;;30-7-2020 14:11;;2
14119580;101304;;Commercial;custom;;;30-7-2020 14:11;;2
14118963;101373;;Commercial;custom;;;30-7-2020 14:11;;2
14118856;101440;;Commercial;custom;;;30-7-2020 14:11;;2
14117629;101387;;Commercial;custom;;;30-7-2020 14:11;;2
14117320;101568;;Commercial;custom;;;30-7-2020 14:11;;2
14116524;101231;;Commercial;custom;;;30-7-2020 14:11;;2
14115508;112013;;Commercial;custom;;;30-7-2020 14:11;;2
14115461;101527;;Commercial;custom;;;30-7-2020 14:11;;2
14115342;101124;;Commercial;custom;;;30-7-2020 14:11;;2
14114794;101645;;Commercial;custom;;;30-7-2020 14:11;;2
14114421;101192;;Commercial;custom;;;30-7-2020 14:11;;2
14112658;103129;;Commercial;custom;;;30-7-2020 14:11;;2
14112554;101308;;Commercial;custom;;;30-7-2020 14:11;;2
14112524;101036;;Commercial;custom;;;30-7-2020 14:11;;2
14111196;103243;;Commercial;custom;;;30-7-2020 14:11;;2
14107232;103119;;Commercial;custom;;;30-7-2020 14:11;;2
14100483;103222;;Commercial;custom;;;30-7-2020 14:11;;2
14099238;101084;;Commercial;custom;;;30-7-2020 14:11;;2
14042387;101319;;Commercial;custom;;;30-7-2020 14:11;;2
14033686;101240;;Commercial;custom;;;30-7-2020 14:11;;2
13042390;101533;;Commercial;custom;;;30-7-2020 14:11;;2
13030618;101082;;Commercial;custom;;;30-7-2020 14:11;;2
13030069;101641;;Commercial;custom;;;30-7-2020 14:11;;2
13013518;101224;;Commercial;custom;;;30-7-2020 14:11;;2
12067350;101213;;Commercial;custom;;;30-7-2020 14:11;;2
12067107;101204;;Commercial;custom;;;30-7-2020 14:11;;2
12066889;101535;;Commercial;custom;;;30-7-2020 14:11;;2
12066823;101419;;Commercial;custom;;;30-7-2020 14:11;;2
12066597;101463;;Commercial;custom;;;30-7-2020 14:11;;2
14122109;101191;;Commercial;custom;;;30-7-2020 14:11;;2
14111289;101190;;Commercial;custom;;;30-7-2020 14:11;;2
14112492;101265;;Commercial;custom;;;30-7-2020 14:11;;2
14112459;101371;;Commercial;custom;;;30-7-2020 14:11;;2
14112452;101049;;Commercial;custom;;;30-7-2020 14:11;;2
14112450;101377;;Commercial;custom;;;30-7-2020 14:11;;2
14112141;101383;;Commercial;custom;;;30-7-2020 14:11;;2
14112120;103473;;Commercial;custom;;;30-7-2020 14:11;;2
14112096;101288;;Commercial;custom;;;30-7-2020 14:11;;2
14111950;101061;;Commercial;custom;;;30-7-2020 14:11;;2
14111865;101380;;Commercial;custom;;;30-7-2020 14:11;;2
14111816;101302;;Commercial;custom;;;30-7-2020 14:11;;2
14111528;101593;;Commercial;custom;;;30-7-2020 14:11;;2
14129285;101428;;Commercial;custom;;;30-7-2020 14:11;;2
14128802;101286;;Commercial;custom;;;30-7-2020 14:11;;2
14128241;101404;;Commercial;custom;;;30-7-2020 14:11;;2
14128049;101085;;Commercial;custom;;;30-7-2020 14:11;;2
14128025;101434;;Commercial;custom;;;30-7-2020 14:11;;2
14128019;101023;;Commercial;custom;;;30-7-2020 14:11;;2
14128681;101372;;Commercial;custom;;;30-7-2020 14:11;;2
14129460;101223;;Commercial;custom;;;30-7-2020 14:11;;2
14129742;101426;;Commercial;custom;;;30-7-2020 14:11;;2
16086098;101417;;Commercial;custom;;;30-7-2020 14:11;;2
16068365;101229;;Commercial;custom;;;30-7-2020 14:11;;2
16061294;101100;;Commercial;custom;;;30-7-2020 14:11;;2
16061053;101268;;Commercial;custom;;;30-7-2020 14:11;;2
16056044;101446;;Commercial;custom;;;30-7-2020 14:11;;2
16033931;101450;;Commercial;custom;;;30-7-2020 14:11;;2
16016277;104004;;Commercial;custom;;;30-7-2020 14:11;;2
14132669;103165;;Commercial;custom;;;30-7-2020 14:11;;2
14131561;101298;;Commercial;custom;;;30-7-2020 14:11;;2
14130699;101202;;Commercial;custom;;;30-7-2020 14:11;;2
14130298;101028;;Commercial;custom;;;30-7-2020 14:11;;2
14127941;103174;;Commercial;custom;;;30-7-2020 14:11;;2
14125749;101194;;Commercial;custom;;;30-7-2020 14:11;;2
14125674;101009;;Commercial;custom;;;30-7-2020 14:11;;2
14125661;101328;;Commercial;custom;;;30-7-2020 14:11;;2
14125660;101376;;Commercial;custom;;;30-7-2020 14:11;;2
14125555;101346;;Commercial;custom;;;30-7-2020 14:11;;2
14125467;101333;;Commercial;custom;;;30-7-2020 14:11;;2
14125412;101226;;Commercial;custom;;;30-7-2020 14:11;;2
14125347;103207;;Commercial;custom;;;30-7-2020 14:11;;2
14125238;101273;;Commercial;custom;;;30-7-2020 14:11;;2
14125221;101349;;Commercial;custom;;;30-7-2020 14:11;;2
14125178;101062;;Commercial;custom;;;30-7-2020 14:11;;2
14125088;101217;;Commercial;custom;;;30-7-2020 14:11;;2
14124553;101556;;Commercial;custom;;;30-7-2020 14:11;;2
14124452;101234;;Commercial;custom;;;30-7-2020 14:11;;2
