TargetCompanyKvk;Value;SchemeDescription;Dataset;Scheme;StartTimestamp;EndTimestamp;ActiveTimestamp;InactiveTimestamp;Trustlevel
37152850;101005;;Commercial;custom;;;30-7-2020 14:11;;2
37141267;101388;;Commercial;custom;;;30-7-2020 14:11;;2
24218959;101547;;Commercial;custom;;;30-7-2020 14:11;;2
20166594;101083;;Commercial;custom;;;30-7-2020 14:11;;2
20164462;101285;;Commercial;custom;;;30-7-2020 14:11;;2
20138963;101393;;Commercial;custom;;;30-7-2020 14:11;;2
18088972;101007;;Commercial;custom;;;30-7-2020 14:11;;2
18057634;103183;;Commercial;custom;;;30-7-2020 14:11;;2
18048468;101199;;Commercial;custom;;;30-7-2020 14:11;;2
18032758;101411;;Commercial;custom;;;30-7-2020 14:11;;2
17281789;101262;Vitelia klantnummer;Commercial;custom;;;30-7-2020 14:11;;2
17050808;101218;;Commercial;custom;;;30-7-2020 14:11;;2
17038191;101175;;Commercial;custom;;;30-7-2020 14:11;;2
17036811;101046;;Commercial;custom;;;30-7-2020 14:11;;2
14113962;101596;;Commercial;custom;;;30-7-2020 14:11;;2
14113923;101051;;Commercial;custom;;;30-7-2020 14:11;;2
14113762;101577;;Commercial;custom;;;30-7-2020 14:11;;2
14113580;111993;;Commercial;custom;;;30-7-2020 14:11;;2
14113530;103131;;Commercial;custom;;;30-7-2020 14:11;;2
12049893;112031;;Commercial;custom;;;30-7-2020 14:11;;2
12052741;101050;;Commercial;custom;;;30-7-2020 14:11;;2
77878566;101021;;Commercial;custom;;;30-7-2020 14:11;;2
77840186;101344;;Commercial;custom;;;30-7-2020 14:11;;2
77750861;101053;;Commercial;custom;;;30-7-2020 14:11;;2
77722221;101633;;Commercial;custom;;;30-7-2020 14:11;;2
75166682;101270;;Commercial;custom;;;30-7-2020 14:11;;2
74556630;101530;;Commercial;custom;;;30-7-2020 14:11;;2
74430750;101024;;Commercial;custom;;;30-7-2020 14:11;;2
73853100;103122;;Commercial;custom;;;30-7-2020 14:11;;2
73637556;101656;;Commercial;custom;;;30-7-2020 14:11;;2
73621528;101314;;Commercial;custom;;;30-7-2020 14:11;;2
73538116;101321;;Commercial;custom;;;30-7-2020 14:11;;2
73489581;101004;;Commercial;custom;;;30-7-2020 14:11;;2
73338885;101375;;Commercial;custom;;;30-7-2020 14:11;;2
73177946;101114;;Commercial;custom;;;30-7-2020 14:11;;2
75209942;101139;;Commercial;custom;;;30-7-2020 14:11;;2
66369797;104005;;Commercial;custom;;;30-7-2020 14:11;;2
75226189;101652;;Commercial;custom;;;30-7-2020 14:11;;2
77655842;112732;;Commercial;custom;;;30-7-2020 14:11;;2
77603257;112265;;Commercial;custom;;;30-7-2020 14:11;;2
77313380;103498;;Commercial;custom;;;30-7-2020 14:11;;2
77150554;101297;;Commercial;custom;;;30-7-2020 14:11;;2
77094425;103475;;Commercial;custom;;;30-7-2020 14:11;;2
76960277;103155;;Commercial;custom;;;30-7-2020 14:11;;2
76816877;103141;;Commercial;custom;;;30-7-2020 14:11;;2
53140575;101205;;Commercial;custom;;;30-7-2020 14:11;;2
53140281;103112;;Commercial;custom;;;30-7-2020 14:11;;2
56521979;101040;;Commercial;custom;;;30-7-2020 14:11;;2
53962737;101361;;Commercial;custom;;;30-7-2020 14:11;;2
54547458;101000;;Commercial;custom;;;30-7-2020 14:11;;2
54545323;101320;;Commercial;custom;;;30-7-2020 14:11;;2
54482690;112224;;Commercial;custom;;;30-7-2020 14:11;;2
54470501;101365;;Commercial;custom;;;30-7-2020 14:11;;2
54355389;103181;;Commercial;custom;;;30-7-2020 14:11;;2
54332265;101359;;Commercial;custom;;;30-7-2020 14:11;;2
54290201;101208;;Commercial;custom;;;30-7-2020 14:11;;2
54143934;101238;;Commercial;custom;;;30-7-2020 14:11;;2
54141184;101574;;Commercial;custom;;;30-7-2020 14:11;;2
54093252;104105;;Commercial;custom;;;30-7-2020 14:11;;2
54056861;111985;;Commercial;custom;;;30-7-2020 14:11;;2
54000785;101317;;Commercial;custom;;;30-7-2020 14:11;;2
53810538;101228;;Commercial;custom;;;30-7-2020 14:11;;2
57031614;101235;;Commercial;custom;;;30-7-2020 14:11;;2
61774251;101433;;Commercial;custom;;;30-7-2020 14:11;;2
61759902;101436;;Commercial;custom;;;30-7-2020 14:11;;2
61758906;101219;;Commercial;custom;;;30-7-2020 14:11;;2
61740942;101400;;Commercial;custom;;;30-7-2020 14:11;;2
62010395;103134;;Commercial;custom;;;30-7-2020 14:11;;2
11011820;101480;;Commercial;custom;;;30-7-2020 14:11;;2
12017531;101599;;Commercial;custom;;;30-7-2020 14:11;;2
12017532;101305;;Commercial;custom;;;30-7-2020 14:11;;2
12020810;101611;;Commercial;custom;;;30-7-2020 14:11;;2
12020810;101605;;Commercial;custom;;;30-7-2020 14:11;;2
12021181;101567;;Commercial;custom;;;30-7-2020 14:11;;2
12021181;101566;;Commercial;custom;;;30-7-2020 14:11;;2
12022889;104270;;Commercial;custom;;;30-7-2020 14:11;;2
12023864;101206;;Commercial;custom;;;30-7-2020 14:11;;2
12027047;101044;;Commercial;custom;;;30-7-2020 14:11;;2
12028015;104376;;Commercial;custom;;;30-7-2020 14:11;;2
12028787;101407;;Commercial;custom;;;30-7-2020 14:11;;2
12035790;103556;;Commercial;custom;;;30-7-2020 14:11;;2
12030822;101583;;Commercial;custom;;;30-7-2020 14:11;;2
12031960;101195;;Commercial;custom;;;30-7-2020 14:11;;2
12032526;101418;;Commercial;custom;;;30-7-2020 14:11;;2
12032642;101301;;Commercial;custom;;;30-7-2020 14:11;;2
12035065;101403;;Commercial;custom;;;30-7-2020 14:11;;2
11060514;101546;;Commercial;custom;;;30-7-2020 14:11;;2
12035790;101155;;Commercial;custom;;;30-7-2020 14:11;;2
59564563;101094;Klantnr;Commercial;custom;;;11-3-2021 11:26;;2
74484184;116997;Klantnummer Vitelia;Commercial;custom;;;24-3-2022 09:25;;2
61594458;115394;Klantnummer Vitelia;Commercial;custom;;;18-11-2021 13:12;;2
14111205;101065;Klantnr;Commercial;custom;;;11-3-2021 12:35;;2
89905016;101412;;Commercial;custom;;;30-7-2020 14:11;;1
17277458;112506;Klantnummer Vitelia;Commercial;custom;;;18-11-2021 13:11;;2
56112238;101034;Klantnummer Vitelia;Commercial;custom;;;25-11-2021 11:49;;2
17281316;101090;;Commercial;custom;11-6-2020 00:00;;30-7-2020 14:11;;2
17281316;101091;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;13-9-2020 19:23;;2
17281316;101092;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;13-9-2020 19:23;;2
59564563;101093;;Commercial;custom;11-6-2020 00:00;;30-7-2020 14:11;;2
65815807;101230;;Commercial;custom;11-6-2020 00:00;;30-7-2020 14:11;;2
58287965;101459;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;4-11-2020 20:01;;2
58287965;101461;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;4-11-2020 20:01;;2
58287965;101462;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;4-11-2020 20:01;;2
14115461;101529;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;25-3-2021 14:01;;2
13030069;101643;Klantnr;Commercial;custom;;;10-3-2021 14:45;;2
57957312;103124;Klantnr;Commercial;custom;;;11-3-2021 07:28;;2
77655842;112734;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;13-10-2020 22:00;;2
78436524;113327;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;13-9-2020 19:23;;2
59988355;115569;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;6-4-2021 19:01;;2
58287965;101458;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;4-11-2020 20:01;;2
58287965;101460;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;4-11-2020 20:01;;2
14115461;101528;Klantnr;Commercial;custom;;;10-3-2021 15:07;;2
13030069;101642;Klantnr;Commercial;custom;;;10-3-2021 14:45;;2
58287965;103185;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;4-11-2020 20:01;;2
77655842;112738;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;13-10-2020 22:00;;2
77698525;114622;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;8-4-2021 10:02;;2
59988355;115572;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;6-4-2021 19:01;;2
59564563;101095;Klantnr;Commercial;custom;;;11-3-2021 11:26;;2
58287965;101457;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;4-11-2020 20:01;;2
85448923;117482;Klantnummer Vitelia;Commercial;custom;;;10-8-2022 07:57;;2
71398287;112510;Klantnummer Vitelia;Commercial;custom;;;7-3-2023 08:44;;2
52994503;101553;Klantnummer Vitelia;Commercial;custom;;;15-9-2022 08:55;;2
52994503;101554;Klantnummer Vitelia;Commercial;custom;;;15-9-2022 08:55;;2
52994503;101555;Klantnummer Vitelia;Commercial;custom;;;15-9-2022 08:56;;2
14114129;101196;Mapping;Commercial;custom;;;23-8-2022 17:36;;2
14124144;111878;Klantnummer Vitelia;Commercial;custom;;;28-2-2023 07:55;;2
52994503;118188;Klantnummer Vitelia;Commercial;custom;;;22-12-2022 09:08;;2
88107329;101334;;Commercial;custom;;;30-7-2020 14:11;;1
89001206;118277;Klantnummer Vitelia;Commercial;custom;;;8-2-2023 12:43;;2
88871932;118265;Klantnummer Vitelia;Commercial;custom;;;17-2-2023 10:23;;2
14127894;115364;Klantnummer Vitelia;Commercial;custom;;;6-3-2023 07:22;;2
88871932;101342;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;30-7-2020 14:11;;2
68127154;116055;;Commercial;custom;;;25-1-2023 13:11;;2
17145268;112534;;Commercial;custom;;;25-1-2023 13:12;;2
73177946;101116;Klantnummer Vitelia;Commercial;custom;;;10-10-2023 14:26;;2
81374690;114639;Klantnummer Vitelia;Commercial;custom;;;10-10-2023 14:19;;2
57562326;115687;;Commercial;custom;;;25-1-2023 13:09;;2
88107329;118147;Klantnummer Vitelia;Commercial;custom;;;18-4-2023 08:49;;2
89267281;101526;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;3-12-2020 11:01;;1
89267281;101525;Klantnummer (overgenomen uit EDI-Circle);Commercial;custom;;;3-12-2020 11:01;;1
89267281;101524;;Commercial;custom;;;30-7-2020 14:11;;1
89174941;118357;Klantnummer Vitelia;Commercial;custom;;;5-4-2023 07:46;;2
89267281;118341;Klantnummer Vitelia;Commercial;custom;;;5-4-2023 07:46;;2
90436962;118489;Klantnummer Vitelia;Commercial;custom;;;12-7-2023 07:34;;2
58273786;116751;Klantnummer Vitelia;Commercial;custom;;;11-9-2023 12:14;;2
89905016;118497;Klantnummer Vitelia;Commercial;custom;;;14-7-2023 10:31;;2
81546025;118475;Klantnummer Vitelia;Commercial;custom;;;4-8-2023 12:53;;2
88704041;118237;;Commercial;custom;;;4-9-2023 10:01;;2
77975383;118418;;Commercial;custom;;;4-9-2023 10:01;;2
63139685;111879;Klantnummer Vitelia;Commercial;custom;;;6-9-2023 08:16;;2
12029218;101591;Klantnummer Vitelia;Commercial;custom;;;17-10-2023 10:03;;2
81546025;115130;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 11:13;;2
12029218;101592;Klantnummer Vitelia;Commercial;custom;;;17-10-2023 10:03;;2
81546025;115132;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 11:13;;2
70468427;117017;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 12:21;;2
81546025;115134;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 11:13;;2
81546025;115136;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 11:17;;2
81546025;115126;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 11:13;;2
81546025;115124;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 11:17;;2
57957312;103126;Klantnummer Vitelia;Commercial;custom;;;19-10-2023 12:42;;2
66745918;101589;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 12:21;;2
77722221;101634;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 12:21;;2
77722221;101635;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 12:24;;2
53140281;101378;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 12:27;;2
77722221;101636;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 12:24;;2
76789144;101667;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 12:26;;2
76789144;101668;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 12:27;;2
53140281;112071;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 12:28;;2
89174941;118208;Klantnummer Vitelia;Commercial;custom;;;28-2-2023 09:05;;1
53386051;117078;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 12:28;;2
53386051;117076;Klantnummer Vitelia;Commercial;custom;;;23-10-2023 12:28;;2
69714568;113592;Klantnummer Vitelia;Commercial;custom;;;2-11-2023 09:37;;2
86171402;101019;;Commercial;custom;;;30-7-2020 14:11;;1
12041238;101617;Klantnummer Vitelia;Commercial;custom;;;25-9-2023 14:07;;2
12041238;101618;Klantnummer Vitelia;Commercial;custom;;;25-9-2023 14:07;;2
12041238;101623;Klantnummer Vitelia;Commercial;custom;;;25-9-2023 14:08;;2
12041238;101624;Klantnummer Vitelia;Commercial;custom;;;25-9-2023 14:08;;2
12041238;101625;Klantnummer Vitelia;Commercial;custom;;;25-9-2023 14:08;;2
12041238;103373;Klantnummer Vitelia;Commercial;custom;;;25-9-2023 14:08;;2
12041238;112231;Klantnummer Vitelia;Commercial;custom;;;25-9-2023 14:08;;2
74482718;114363;Klantnummer Vitelia;Commercial;custom;;;26-9-2023 13:36;;2
17270073;118499;Klantnummer Vitelia;Commercial;custom;;;26-9-2023 13:36;;2
54158672;117889;;Commercial;custom;;;28-11-2023 09:25;;2
54158672;117892;;Commercial;custom;;;28-11-2023 09:25;;2
14129285;118822;Klantnummer Vitelia;Commercial;custom;;;6-12-2023 14:20;;2
17208000;116505;Klantnummer Vitelia;Commercial;custom;;;12-12-2023 11:45;;2
14129285;118825;Klantnummer Vitelia;Commercial;custom;;;6-12-2023 14:20;;2
